Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positive_Examples,Body_size,PCA_Body_size,Functional_variable,F1_Score
?a  parent  ?f  ?f  spouse  ?b   ,?a  father  ?b,0.408424908,0.311018131,0.390542907,223,717,571,?a,0.3992837955845006
?b  predecessor  ?f  ?a  spouse  ?f   ,?a  child  ?b,0.034437086,0.184397163,0.258706468,52,282,201,?b,0.06078316760307988
?b  predecessor  ?f  ?a  successor  ?f   ,?a  child  ?b,0.014569536,0.079422383,0.113989637,22,277,193,?b,0.025836757986898874
?b  father  ?a  ?b  predecessor  ?a   ,?a  child  ?b,0.035761589,0.54,0.794117647,54,100,68,?b,0.06844106389875042
?e  child  ?a  ?e  spouse  ?b   ,?a  father  ?b,0.212454212,0.079343365,0.355828221,116,1462,326,?a,0.266055045554846
?b  mother  ?f  ?f  spouse  ?a   ,?a  child  ?b,0.069536424,0.332278481,0.53030303,105,316,198,?b,0.1229508199124385
?b  parent  ?a  ?b  predecessor  ?a   ,?a  child  ?b,0.040397351,0.570093458,0.802631579,61,107,76,?b,0.0769230769353247
?b  mother  ?f  ?a  spouse  ?f   ,?a  child  ?b,0.079470199,0.38961039,0.597014925,120,308,201,?b,0.14026884912171425
?f  parent  ?a  ?b  successor  ?f   ,?a  child  ?b,0.013245033,0.053908356,0.112359551,20,371,178,?b,0.023696682294018556
?b  parent  ?f  ?f  spouse  ?a   ,?a  child  ?b,0.158278146,0.333333333,0.497916667,239,717,480,?b,0.24020100541471176
?b  parent  ?f  ?a  spouse  ?f   ,?a  child  ?b,0.160927152,0.338912134,0.521459227,243,717,466,?b,0.2459514165807565
?a  child  ?f  ?b  successor  ?f   ,?a  child  ?b,0.016556291,0.08361204,0.132978723,25,299,188,?b,0.029446406910376092
?a  spouse  ?e  ?e  successor  ?b   ,?a  child  ?b,0.035761589,0.194945848,0.278350515,54,277,194,?b,0.06338028104366418
?a  child  ?e  ?e  successor  ?b   ,?a  child  ?b,0.016556291,0.107296137,0.135869565,25,233,184,?b,0.02951593798080314
?b  father  ?f  ?a  spouse  ?f   ,?a  child  ?b,0.077483444,0.293969849,0.466135458,117,398,251,?b,0.1328790464182842
?b  father  ?f  ?f  spouse  ?a   ,?a  child  ?b,0.082781457,0.308641975,0.468164794,125,405,267,?b,0.14068655043239367
?e  spouse  ?a  ?e  successor  ?b   ,?a  child  ?b,0.039072848,0.211469534,0.292079208,59,279,202,?b,0.06892523414164993
?a  child  ?e  ?e  predecessor  ?b   ,?a  child  ?b,0.017218543,0.085245902,0.126213592,26,305,206,?b,0.030303030224523336
?e  parent  ?a  ?e  predecessor  ?b   ,?a  child  ?b,0.013245033,0.053763441,0.100502513,20,372,199,?b,0.023405500128643283
?e  child  ?b  ?a  spouse  ?e   ,?a  child  ?b,0.290066225,0.317391304,0.317391304,438,1380,1380,?b,0.3031141866021958
?e  child  ?b  ?e  spouse  ?a   ,?a  child  ?b,0.290728477,0.300273598,0.300273598,439,1462,1462,?b,0.2954239571150414
